Scenario;Avg. Infected;Avg. Contaminated;
1;7.968764146672703;2.3847894975101855;
2;7.8248076052512445;2.880488909008601;
3;7.866455409687641;8.566772295156179;
4;7.905387052965143;3.025350837483024;
5;7.860117700316885;3.5156179266636487;
6;8.231326392032594;8.633318243549118;
7;7.9655952919873245;3.668628338614758;
8;8.139429606156632;4.566319601629696;
9;7.823902218198279;8.67768220914441;
10;7.968764146672703;2.3847894975101855;
11;7.8248076052512445;2.880488909008601;
12;7.866455409687641;8.566772295156179;
13;7.905387052965143;3.025350837483024;
14;7.860117700316885;3.5156179266636487;
15;8.231326392032594;8.633318243549118;
16;7.9655952919873245;3.668628338614758;
17;8.139429606156632;4.566319601629696;
18;7.823902218198279;8.67768220914441;
19;8.083295608872794;2.405613399728384;
20;7.929832503395201;3.1634223630602083;
21;8.02263467632413;8.609778180172023;
22;7.744228157537347;3.1421457673155273;
23;7.887732005432322;3.6143051154368493;
24;8.192847442281575;8.703485740153916;
25;7.983703033046628;3.93662290629244;
26;7.92440018107741;4.239927569035763;
27;8.106835672249886;8.70755998189226;
28;8.083295608872794;2.405613399728384;
29;7.929832503395201;3.1634223630602083;
30;8.02263467632413;8.609778180172023;
31;7.744228157537347;3.1421457673155273;
32;7.887732005432322;3.6143051154368493;
33;8.192847442281575;8.703485740153916;
34;7.983703033046628;3.93662290629244;
35;7.92440018107741;4.239927569035763;
36;8.106835672249886;8.70755998189226;
37;7.7537347215934815;2.386600271616116;
38;8.208239022181983;3.0964237211407877;
39;7.816659121774559;8.667722951561792;
40;7.7691263014938885;2.9162516976007242;
41;7.80805794477139;3.7166138524219106;
42;7.556813037573563;8.675871435038479;
43;7.976912630149389;3.7881394296061566;
44;7.707107288365776;3.8958804889090084;
45;7.863286555002263;8.719330013580805;
46;7.7537347215934815;2.386600271616116;
47;8.208239022181983;3.0964237211407877;
48;7.816659121774559;8.667722951561792;
49;7.7691263014938885;2.9162516976007242;
50;7.80805794477139;3.7166138524219106;
51;7.556813037573563;8.675871435038479;
52;7.976912630149389;3.7881394296061566;
53;7.707107288365776;3.8958804889090084;
54;7.863286555002263;8.719330013580805;
55;7.833861475780896;2.393843368039837;
56;7.5740153915799;2.8347668628338614;
57;7.821638750565867;8.615663196016296;
58;7.671797193300136;2.8809416025350836;
59;7.626527840651879;3.4626527840651877;
60;7.691715708465369;8.667722951561792;
61;7.61611588954278;3.6899049343594386;
62;7.613852421910367;4.02987777274785;
63;7.92440018107741;8.686283386147577;
64;7.593933906745134;2.323223177908556;
65;7.682661837935718;2.9805341783612493;
66;7.707107288365776;8.616568583069261;
67;7.674966047985514;3.219556360344047;
68;7.46129470348574;3.315527387958352;
69;7.688546853779991;8.606609325486646;
70;7.646899049343594;3.7980986871887734;
71;7.6577636939791764;3.9085559076505207;
72;7.826618379357175;8.685830692621096;
73;7.751923947487551;2.209144409234948;
74;7.772295156179267;2.8872793119058398;
75;7.8302399275690355;8.571751923947488;
76;7.511996378451788;2.816206428248076;
77;7.636939791760978;3.275690357627886;
78;7.856948845631507;8.690357627885922;
79;7.743775464010865;3.745586238116795;
80;7.735626980534178;4.038478949751019;
81;7.85740153915799;8.72340425531915;
82;7.622906292440018;2.4228157537347217;
83;7.5169760072430964;2.557265731100045;
84;7.825260298777727;8.659574468085106;
85;7.7057492077863285;2.9099139882299685;
86;7.852421910366682;3.5056586690810323;
87;7.735174287007696;8.658216387505659;
88;7.644182888184699;3.6989588048890902;
89;7.755545495699412;4.3064735174287;
90;7.859665006790403;8.710728836577637;
91;7.632412856496152;2.34676324128565;
92;7.7025803531009505;2.9511090991398823;
93;7.6500679040289725;8.669533725667723;
94;7.507469443186962;3.050701674966048;
95;7.386600271616116;3.3408782254413762;
96;7.673607967406066;8.691715708465368;
97;7.397012222725215;3.516523313716614;
98;7.626980534178362;4.310095065640561;
99;7.893164327750113;8.708918062471707;
100;7.581711181530104;2.506111362607515;
101;7.685377999094613;2.949298325033952;
102;7.816206428248076;8.660932548664555;
103;7.478497057492078;2.9642372114078768;
104;7.6654594839293795;3.4015391579900407;
105;7.7931190583974645;8.683567224988682;
106;7.8542326844726125;4.195563603440471;
107;7.687641466727026;4.254413761883205;
108;7.928021729289271;8.708465368945225;
109;7.6152105024898145;2.4232684472612043;
110;7.669533725667723;2.8492530556813036;
111;7.740606609325487;8.617473970122226;
112;7.605251244907198;2.9225894069714804;
113;7.691263014938887;3.2824807605251243;
114;7.67949298325034;8.625169760072431;
115;7.786781349026709;3.6278859212313264;
116;7.76595744680851;4.358533272974197;
117;7.6577636939791764;8.683567224988682;
118;7.808510638297872;2.530104119511091;
119;7.614757808963332;2.85740153915799;
120;7.7985513807152556;8.618379357175192;
121;7.688999547306474;2.8872793119058398;
122;7.727025803531009;3.3789044816659124;
123;7.801720235400634;8.642824807605251;
124;7.879130828429154;3.6708918062471705;
125;7.799909461294703;4.023087369850611;
126;7.618832050701675;8.690357627885922;
127;7.69895880488909;2.3847894975101855;
128;7.842009959257583;2.910366681756451;
129;7.6817564508827525;8.598008148483476;
130;7.555907650520598;2.832050701674966;
131;7.779538252602988;3.374830239927569;
132;7.860570393843368;8.684019918515165;
133;7.754187415119964;3.5450430058850158;
134;7.88546853779991;4.589406971480308;
135;7.804436396559529;8.70258035310095;
136;7.806699864191942;2.3463105477591673;
137;7.647351742870077;2.6672702580353103;
138;7.957899502037121;8.651878678134903;
139;7.747397012222725;2.9642372114078768;
140;7.789044816659122;3.4703485740153917;
141;7.636034404708012;8.691263014938887;
142;7.876867360796741;3.6392032593933905;
143;7.506111362607514;3.9868718877320055;
144;7.770031688546854;8.712539610683567;
145;7.641014033499321;2.248528746038932;
146;7.636487098234495;2.9108193752829337;
147;7.8519692168401996;8.6129470348574;
148;7.377999094612947;2.7215934812132185;
149;7.664554096876414;3.765957446808511;
150;7.657311000452694;8.646446355817112;
151;7.757808963331825;4.238116794929833;
152;7.6708918062471705;4.10728836577637;
153;7.772295156179267;8.712086917157084;
154;7.532367587143503;2.3417836124943414;
155;7.530104119511091;3.016749660479855;
156;7.703033046627433;8.66002716161159;
157;7.672702580353101;2.9004074241738342;
158;7.660479855138072;3.4694431869624265;
159;7.752376641014034;8.666364870982346;
160;7.535083748302399;3.4142145767315526;
161;7.577184246265278;3.958804889090086;
162;7.860570393843368;8.69533725667723;
163;7.604798551380715;2.4861928474422816;
164;7.751923947487551;2.8546853779990946;
165;7.780896333182436;8.530556813037574;
166;7.495699411498416;2.8555907650520598;
167;7.632412856496152;3.342236306020824;
168;7.813490267089181;8.635129017655048;
169;7.82571299230421;4.0529651425984605;
170;7.4644635581711185;3.906292440018108;
171;7.839293798098687;8.680398370303305;
172;7.678134902670892;2.4617473970122226;
173;7.703485740153916;2.9995473064735174;
174;7.610683567224989;8.598008148483476;
175;7.860117700316885;3.1090991398822996;
176;7.533272974196469;3.1534631054775915;
177;7.618832050701675;8.638750565866909;
178;7.483476686283386;3.4997736532367587;
179;7.652784065187868;4.266183793571752;
180;7.70076957899502;8.679945676776821;
181;7.655952919873246;2.4481665912177455;
182;7.797193300135808;2.819375282933454;
183;7.787686736079674;8.650067904028973;
184;7.72521502942508;3.0312358533272974;
185;7.68130375735627;3.411498415572657;
186;7.992756903576279;8.70574920778633;
187;7.514259846084201;3.6206428248076055;
188;7.9307378904481665;4.180172023540063;
189;8.08103214124038;8.687641466727026;
190;7.64961521050249;2.5581711181530102;
191;7.8325033952014484;2.877772747849706;
192;7.624264373019466;8.543684925305568;
193;7.674966047985514;3.0086011770031686;
194;7.578542326844726;3.4956994114984155;
195;8.000452693526482;8.695789950203713;
196;7.874151199637845;3.9117247623358984;
197;7.8008148483476685;4.020823902218198;
198;7.857854232684472;8.71480307831598;
199;7.265278406518787;2.4599366229062922;
200;7.490267089180625;2.874603893164328;
201;7.653236758714351;8.68130375735627;
202;7.505658669081032;3.077863286555002;
203;7.724762335898597;3.6808510638297873;
204;7.683567224988683;8.669081032141241;
205;7.782254413761883;4.165685830692621;
206;7.815301041195111;4.357175192394749;
207;7.874151199637845;8.710728836577637;
208;7.720235400633771;2.5613399728383883;
209;7.723856948845632;2.9995473064735174;
210;7.842915346310548;8.6441828881847;
211;7.597555454956994;3.018107741059303;
212;7.680398370303305;3.440470801267542;
213;7.689452240832956;8.69895880488909;
214;7.708918062471707;3.914440923494794;
215;7.7243096423721145;4.197374377546401;
216;7.827976459936623;8.711181530104119;
